id,numcrawled,avgCrawlingTime,avgPageSize
20697,91,0.782186,162.975
21571,5,1.4542,1.1764
21465,11,2.01711,19.2486
21461,10,2.40941,584.645
21699,8,0.514799,124.238
21679,28,0.435764,37.3745
20309,36,3.14903,94.6214
21355,38,1.12428,20.8191
19709,89,1.79355,113.22
21919,4,1.66336,27.425
20272,101,1.24419,57.6564
21187,53,1.15028,41.4287
21984,4,1.4096,25.94
22085,0,0,0
21816,29,0.577315,43.1419
22035,4,1.65455,16.9737
22172,0,0,0
22178,0,0,0
20864,73,1.27868,39.6651
22128,8,0.420667,226.441
22217,0,0,0
22237,0,0,0
21464,16,3.37292,154.463
22253,0,0,0
22282,0,0,0
22292,0,0,0
22309,0,0,0
22373,0,0,0
21808,30,1.23214,95.1518
22130,16,0.436202,41.9119
21616,26,2.10429,38.479
22462,0,0,0
21595,45,1.27717,38.7156
21621,22,2.52699,38.2261
21611,59,0.957237,59.8134
22495,0,0,0
22533,0,0,0
22101,77,0.335996,79.3838
22545,0,0,0
22567,4,1.01736,42.6483
22666,0,0,0
22517,18,0.564945,15.8779
22742,0,0,0
22824,0,0,0
22873,0,0,0
22544,31,0.991721,32.943
21294,23,5.01606,96.2622
22205,118,0.461678,115.097
22781,23,0.807501,52.189
22583,59,0.557299,50.6799
21652,89,1.06231,55.7164
21788,73,1.1438,55.7935
23059,0,0,0
23077,0,0,0
23064,8,0.300408,14.4474
23115,0,0,0
22896,22,0.911569,81.5303
23162,0,0,0
23180,1,0.879392,16.708
23233,0,0,0
21948,71,1.23611,50.6875
23142,7,1.10752,15.2196
23108,10,1.18502,25.6084
23055,14,1.27457,36.0234
23358,0,0,0
23382,0,0,0
22556,49,1.31903,130.628
23057,83,0.339132,55.1599
23171,34,0.622233,29.9802
23456,1,1.90694,16.827
23447,7,1.35652,39.729
23492,12,0.366014,24.2165
23099,39,0.945832,35.9157
23586,0,0,0
23630,25,0.319547,29.1633
23442,14,2.11913,21.9436
23603,23,0.736555,27.3155
23393,75,0.489607,75.6578
22492,129,0.815428,45.5307
23850,0,0,0
23851,0,0,0
22534,27,3.82883,21.3089
22397,50,2.273,36.927
23837,11,0.548124,32.577
23378,21,2.36131,18.8983
23875,11,0.607744,29.5476
23961,0,0,0
23895,19,0.280517,32.2141
23985,0,0,0
23992,0,0,0
23879,12,1.05021,14.9591
23463,56,0.977671,35.8999
23014,86,1.06638,94.1674
24056,7,0.9239,22.96
23346,31,2.46814,29.7806
23388,17,4.18128,37.5822
24196,24,0.464683,28.9099
22288,96,1.73754,43.3851
24219,5,2.21805,37.6328
23790,37,1.58691,406.39
23909,27,1.68437,45.6719
24015,45,0.842785,22.9581
24232,20,1.11496,50.7138
24120,20,1.77274,34.0567
22723,47,3.26532,153.033
24490,0,0,0
24349,10,1.65342,8.0968
23926,21,2.87281,42.3099
24519,0,0,0
24478,6,1.39702,87.957
23988,36,1.6432,20.3137
24579,0,0,0
24599,0,0,0
24650,0,0,0
24502,23,0.553883,19.2165
24064,29,2.03061,48.675
23984,35,1.92541,47.3455
24116,38,1.44451,919.905
24693,0,0,0
24688,5,0.702812,10.8368
24557,20,0.647855,14.7501
24662,5,1.21341,110.784
24591,16,0.925553,39.2269
24907,0,0,0
24765,32,0.368368,31.947
24717,27,0.657246,29.0187
25060,0,0,0
24771,20,0.875088,31.7617
21629,119,2.24017,66.977
24710,17,0.971987,33.8217
25092,0,0,0
25080,2,0.655296,3.972
24883,22,0.699366,25.2694
24401,38,1.43196,65.7198
25146,0,0,0
24685,38,0.808684,40.1156
24331,49,1.36588,65.0303
24726,27,1.14384,35.5193
24419,43,1.37544,72.755
25243,0,0,0
25166,5,0.497909,22.6216
25253,0,0,0
25270,0,0,0
25115,14,0.832092,28.9202
25317,0,0,0
25356,0,0,0
25002,35,0.805384,39.2427
24590,98,0.597406,63.3976
24971,29,1.24911,53.0256
25388,2,1.7463,30.828
25507,0,0,0
25185,12,2.29497,47.4889
25302,19,0.977535,28.7587
24167,54,2.03837,66.3072
25279,10,2.29222,25.3606
25593,0,0,0
25240,12,2.36284,24.7045
25339,46,0.41283,83.2602
25612,0,0,0
25615,16,0.148018,13.8103
25614,2,1.38987,16.6
25681,0,0,0
25694,0,0,0
24417,46,2.06005,461.305
25718,0,0,0
25775,0,0,0
25632,27,0.439854,33.29
25804,0,0,0
25814,0,0,0
25823,0,0,0
25829,0,0,0
24013,43,3.43073,13.5063
25720,11,0.392458,21.4625
25873,0,0,0
25563,15,2.08701,19.568
25960,0,0,0
25141,61,1.14665,40.0996
26002,0,0,0
25854,15,1.00115,30.1954
25639,40,0.845236,50.626
26029,0,0,0
26062,0,0,0
26070,0,0,0
25897,12,1.44814,46.7747
26106,0,0,0
25282,39,1.77891,302.588
26118,2,0.250776,3.2425
26138,0,0,0
25635,19,2.31554,21.4564
26151,0,0,0
25607,43,1.08597,36.8846
26182,0,0,0
26208,0,0,0
26220,0,0,0
25921,29,0.760823,36.2367
26187,8,0.295624,5.29125
26049,19,0.647291,51.9337
25846,45,0.723338,40.4632
26271,1,0.157596,3.902
26224,19,0.200289,7.27974
26243,13,0.340803,46.137
26217,8,0.926635,33.173
26305,3,1.27973,25.7287
26306,7,0.670221,28.9113
26408,4,0.528177,5.29575
26044,22,0.372788,28.5158
25526,68,1.06784,44.1798
25543,25,2.8748,118.09
26511,0,0,0
26535,0,0,0
25309,52,1.83762,43.1209
26266,25,0.883464,53.1171
26628,0,0,0
26642,0,0,0
25910,40,1.25758,32.8637
26659,0,0,0
26688,0,0,0
26690,5,0.144236,12.9612
26173,47,0.726114,74.459
26407,26,0.786608,34.2584
26775,0,0,0
26692,16,0.325059,22.6003
26792,0,0,0
26302,30,1.10317,27.7881
26816,1,0.357932,21.356
26853,0,0,0
26856,0,0,0
26870,0,0,0
26901,0,0,0
26874,4,0.538564,27.8117
26939,0,0,0
26964,0,0,0
26845,17,0.645219,77.3284
27000,0,0,0
27008,0,0,0
27015,1,0.663839,16.698
26860,11,1.16137,69.0704
26735,27,0.807714,140.057
27017,1,0.17672,16.121
27049,0,0,0
26571,30,1.19718,39.6084
27095,0,0,0
27099,0,0,0
27065,3,1.74067,142.975
27110,0,0,0
26920,15,0.37448,24.2808
27120,0,0,0
27147,0,0,0
25384,94,1.43475,169.417
27197,0,0,0
27226,0,0,0
26403,45,1.39954,37.7179
24566,117,1.72279,61.0583
27227,13,0.576027,36.2976
27251,9,0.734369,76.0703
27175,8,1.64737,80.7316
27052,27,1.08633,34.6869
27437,3,0.630664,20.7287
27392,6,0.820567,20.5783
27394,7,0.980841,31.6703
26366,107,0.804221,36.7004
26713,8,8.08164,98.1197
27523,14,0.498621,28.7873
27537,17,0.424522,28.1567
25153,93,1.98373,30.6513
27133,85,0.409566,53.8693
27295,48,0.500524,68.9885
27712,2,1.665,77.104
27675,7,0.879115,31.8774
26508,112,0.778064,39.2842
27129,23,1.92366,38.6774
27815,10,0.361321,27.4667
26681,39,2.08269,39.9521
